district,districtname,gss
http://data.ordnancesurvey.co.uk/id/7000000000022028,NorthYorkshire,E10000023
http://data.ordnancesurvey.co.uk/id/7000000000009082,Doncaster,E08000017
http://data.ordnancesurvey.co.uk/id/7000000000009113,Sheffield,E08000019
http://data.ordnancesurvey.co.uk/id/7000000000009123,Rotherham,E08000018
http://data.ordnancesurvey.co.uk/id/7000000000009182,Barnsley,E08000016
http://data.ordnancesurvey.co.uk/id/7000000000016665,Kirklees,E08000034
http://data.ordnancesurvey.co.uk/id/7000000000016675,Leeds,E08000035
http://data.ordnancesurvey.co.uk/id/7000000000016714,Calderdale,E08000033
http://data.ordnancesurvey.co.uk/id/7000000000016726,Bradford,E08000032
http://data.ordnancesurvey.co.uk/id/7000000000016758,Wakefield,E08000036
http://data.ordnancesurvey.co.uk/id/7000000000025595,York,E06000014
http://data.ordnancesurvey.co.uk/id/7000000000025623,NorthLincolnshire,E06000013
http://data.ordnancesurvey.co.uk/id/7000000000025635,EastRiding of Yorkshire,E06000011
http://data.ordnancesurvey.co.uk/id/7000000000025639,Cityof Kingston upon Hull,E06000010
http://data.ordnancesurvey.co.uk/id/7000000000025650,NorthEast Lincolnshire,E06000012
http://data.ordnancesurvey.co.uk/id/7000000000024753,BarnsleyCentral,E14000541
http://data.ordnancesurvey.co.uk/id/7000000000024770,BarnsleyEast,E14000542
http://data.ordnancesurvey.co.uk/id/7000000000024706,Penistoneand Stocksbridge,E14000876
http://data.ordnancesurvey.co.uk/id/7000000000024754,Wakefield,E14001009
http://data.ordnancesurvey.co.uk/id/7000000000024771,Hemsworth,E14000740
http://data.ordnancesurvey.co.uk/id/7000000000024769,Wentworthand Dearne,E14001028
http://data.ordnancesurvey.co.uk/id/7000000000024850,DoncasterNorth,E14000669
http://data.ordnancesurvey.co.uk/id/7000000000024900,Briggand Goole,E14000596
http://data.ordnancesurvey.co.uk/id/7000000000024800,DonValley,E14000667
http://data.ordnancesurvey.co.uk/id/7000000000024798,RotherValley,E14000903
http://data.ordnancesurvey.co.uk/id/7000000000024778,Batleyand Spen,E14000548
http://data.ordnancesurvey.co.uk/id/7000000000024806,BradfordSouth,E14000588
http://data.ordnancesurvey.co.uk/id/7000000000024779,CalderValley,E14000614
http://data.ordnancesurvey.co.uk/id/7000000000024732,Dewsbury,E14000666
http://data.ordnancesurvey.co.uk/id/7000000000024755,Huddersfield,E14000756
http://data.ordnancesurvey.co.uk/id/7000000000024776,Morleyand Outwood,E14000826
http://data.ordnancesurvey.co.uk/id/7000000000024913,Beverleyand Holderness,E14000556
http://data.ordnancesurvey.co.uk/id/7000000000024851,EastYorkshire,E14000683
http://data.ordnancesurvey.co.uk/id/7000000000024912,Haltempriceand Howden,E14000724
http://data.ordnancesurvey.co.uk/id/7000000000024945,Kingstonupon Hull East,E14000771
http://data.ordnancesurvey.co.uk/id/7000000000024946,Kingstonupon Hull North,E14000772
http://data.ordnancesurvey.co.uk/id/7000000000024875,Richmond(Yorks),E14000895
http://data.ordnancesurvey.co.uk/id/7000000000024823,BradfordEast,E14000587
http://data.ordnancesurvey.co.uk/id/7000000000024807,BradfordWest,E14000589
http://data.ordnancesurvey.co.uk/id/7000000000024822,Pudsey,E14000886
http://data.ordnancesurvey.co.uk/id/7000000000024824,Shipley,E14000925
http://data.ordnancesurvey.co.uk/id/7000000000024780,Halifax,E14000723
http://data.ordnancesurvey.co.uk/id/7000000000024805,LeedsWest,E14000781
http://data.ordnancesurvey.co.uk/id/7000000000024898,Cleethorpes,E14000643
http://data.ordnancesurvey.co.uk/id/7000000000037530,Scunthorpe,E14000914
http://data.ordnancesurvey.co.uk/id/7000000000024802,Selbyand Ainsty,E14000917
http://data.ordnancesurvey.co.uk/id/7000000000024733,ColneValley,E14000645
http://data.ordnancesurvey.co.uk/id/7000000000024825,Keighley,E14000766
http://data.ordnancesurvey.co.uk/id/7000000000025010,GreatGrimsby,E14000716
http://data.ordnancesurvey.co.uk/id/7000000000024923,Kingstonupon Hull West and Hessle,E14000773
http://data.ordnancesurvey.co.uk/id/7000000000024703,"Sheffield, Hallam",E14000922
http://data.ordnancesurvey.co.uk/id/7000000000024819,DoncasterCentral,E14000668
http://data.ordnancesurvey.co.uk/id/7000000000024860,Thirskand Malton,E14000993
http://data.ordnancesurvey.co.uk/id/7000000000024834,YorkOuter,E14001062
http://data.ordnancesurvey.co.uk/id/7000000000024772,Elmetand Rothwell,E14000689
http://data.ordnancesurvey.co.uk/id/7000000000024804,LeedsCentral,E14000777
http://data.ordnancesurvey.co.uk/id/7000000000024820,LeedsNorth East,E14000779
http://data.ordnancesurvey.co.uk/id/7000000000024821,LeedsNorth West,E14000780
http://data.ordnancesurvey.co.uk/id/7000000000024803,LeedsEast,E14000778
http://data.ordnancesurvey.co.uk/id/7000000000024774,"Normanton, Pontefract and Castleford",E14000836
http://data.ordnancesurvey.co.uk/id/7000000000037262,Harrogateand Knaresborough,E14000730
http://data.ordnancesurvey.co.uk/id/7000000000024836,Skiptonand Ripon,E14000928
http://data.ordnancesurvey.co.uk/id/7000000000024924,Scarboroughand Whitby,E14000913
http://data.ordnancesurvey.co.uk/id/7000000000024750,"Sheffield, Heeley",E14000923
http://data.ordnancesurvey.co.uk/id/7000000000024767,SheffieldSouth East,E14000920
http://data.ordnancesurvey.co.uk/id/7000000000024768,Rotherham,E14000904
http://data.ordnancesurvey.co.uk/id/7000000000024752,"Sheffield, Brightside and Hillsborough",E14000921
http://data.ordnancesurvey.co.uk/id/7000000000024751,SheffieldCentral,E14000919
http://data.ordnancesurvey.co.uk/id/7000000000024833,YorkCentral,E14001061